종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),frgn_sum_3,orgn_sum_3,frgn_sum_5,orgn_sum_5,frgn_pos_5,orgn_pos_5,frgn_series,orgn_series,수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,섹터,당일등락(%),raw_score,멀티팩터점수,순위변동,정배열
443060,HD현대마린솔루션,2026-06-10,-4435.0,8197.0,3762.0,8456.0,-0.10387681726159192,0.8,-3079.0,9958.0,-8396.0,16852.0,3.0,4.0,"4342,12509,2327,-12029,-3205,768,-6085,486,870,-4435","-3397,-6504,-3851,18497,5236,-3002,9896,1549,212,8197",0.554586342123646,0.3904327099489525,2.0283700399198854,2.973389091992484,47,102669.0,일반서비스,9.05,1.3573787306205654,1.2441670599603936,28,
285130,SK케미칼,2026-06-10,6.0,-466.0,-460.0,-1697.0,-0.4044139450238774,0.2,-343.0,-717.0,-660.0,-1037.0,2.0,1.0,"-632,544,430,-179,606,-49,-268,-1033,684,6","-1372,-1253,-821,-1365,-363,-154,-166,260,-511,-466",1.159009834890512,0.3392603478318013,1.973385878541584,3.4716560612638974,48,7049.0,화학,0.62,1.5822088972176758,1.2369470603465822,80,
439260,대한조선,2026-06-10,-856.0,144.0,-712.0,-2714.0,-0.5217989616608325,0.3,-1804.0,895.0,-3946.0,1232.0,1.0,4.0,"-704,214,772,350,-149,-1467,-675,-1047,99,-856","-853,-598,-558,-1259,165,429,-92,540,211,144",0.8518270264646433,-0.5249524287457998,1.9733858785415843,2.3002604762604277,49,23272.0,운송장비·부품,0.33,1.0536467392392872,1.2349045217027343,-25,
457190,이수스페셜티케미컬,2026-06-10,1892.0,-725.0,1167.0,5676.0,-0.23499031633723366,0.6,4446.0,-180.0,6112.0,-436.0,4.0,3.0,"-1014,-4001,-815,2860,585,530,1136,2958,-404,1892","-1471,-79,638,-468,-914,11,-267,53,492,-725",1.4262472270037725,-0.08211095235570376,2.133811703532996,3.4779479781810645,50,23933.0,화학,-1.49,1.5850479630517413,1.1750157459084885,106,
138040,메리츠금융지주,2026-06-10,-3927.0,8827.0,4900.0,34783.0,0.5570373719078567,0.9,-17190.0,41988.0,-25195.0,59978.0,1.0,5.0,"-1955,-3217,10379,7063,38,1274,-9279,-12625,-638,-3927","4211,2483,3592,5941,3971,3438,14552,17711,15450,8827",0.9969422913892145,0.6096719772368049,1.663085429989108,3.2696996986151277,51,181070.0,금융,-0.82,1.4910812779695775,1.1727732771967172,82,
006800,미래에셋증권,2026-06-10,8810.0,-22214.0,-13404.0,-88439.0,-0.5814781292732047,0.2,84922.0,-102309.0,54934.0,-143373.0,3.0,0.0,"1625,-2673,13080,19328,38508,-12091,-17897,44142,31970,8810","-36507,-24366,-23399,-24615,-28440,-11404,-29660,-56633,-23462,-22214",0.818184582520363,-0.755682497684392,1.9001382412125283,1.9626403260484993,52,286498.0,증권,-0.58,0.9013043218206012,1.1707644350784228,-43,
465580,ACE 미국빅테크TOP7 Plus,2026-06-10,-7.0,803.0,796.0,9790.0,0.8163167612540772,1.0,391.0,7577.0,423.0,9367.0,2.0,5.0,"109,-48,-20,-59,-67,72,-40,463,-65,-7","6421,2044,555,630,1269,518,1272,6586,188,803",0.7458454504114501,0.9661109386603197,1.4182714516382933,3.130227840710063,53,10886.0,ETF(실물복제/수익증권),-1.38,1.4281481859079936,1.1584470082325296,65,
055550,신한지주,2026-06-10,-32622.0,29860.0,-2762.0,81115.0,-0.19108901442470483,0.6,-78223.0,69700.0,-36742.0,117857.0,2.0,5.0,"15320,13035,4778,11822,10861,7725,33756,-25633,-19968,-32622","-17171,-16318,-453,-6553,1986,33424,14733,6757,33083,29860",1.114606159555802,-0.613180228414192,-0.449223478695433,0.05220245244617694,54,466111.0,금융,-2.96,0.03926832127353017,1.1497852721128778,-141,
293940,신한알파리츠,2026-06-10,690.0,-656.0,34.0,-143.0,-0.18518518523283511,0.5,782.0,-1132.0,1164.0,-1307.0,5.0,1.0,"-122,103,48,-120,773,270,112,26,66,690","-361,-119,-63,243,-299,-237,62,-66,-410,-656",0.2800102436165099,-0.0006691711636524744,2.0412412023193465,2.320582274772204,55,6313.0,리츠,-0.19,1.0628164286361912,1.1494653249274935,-14,
153130,KODEX 단기채권,2026-06-10,-1.0,1898.0,1897.0,2842.0,0.88658265378268,0.8,-8.0,3062.0,-6.0,2848.0,2.0,4.0,"0,1,0,-22,0,1,1,-7,0,-1","1687,-375,490,134,625,-611,397,751,413,1898",1.5227672393254659,1.9829594566422917,1.3922862811383283,4.898012977106085,56,8612.0,ETF(실물복제/수익증권),0.0,2.2258158043435143,1.1482833457636448,337,
