ticker,market_cap,pe,pb,roe,rev_growth,earn_growth,debt_equity
KIM,16313814016,29.5,1.5691489,0.055370003,0.032,-0.068,78.678
KKR,95945973760,44.273506,3.2566326,0.08558,0.763,-0.022,68.611
KMI,71238705152,23.372263,2.286,0.09826,0.131,0.493,99.71
KMB,32807540736,20.337448,21.843092,1.26603,-0.006,0.11,464.785
KHC,26598744064,,0.63855183,-0.12837,-0.034,-0.692,52.1
KLAC,235381473280,52.07674,42.982864,1.00726,0.072,0.409,111.778
LH,22304030720,25.902391,2.581248,0.10509,0.056,0.157,75.561
KR,43153985536,44.279224,7.370299,0.14405,0.012,0.509,415.97
LHX,65440436224,41.169212,3.408704,,1.9,-0.061,34.574
LRCX,336113631232,54.94867,33.00037,0.65565,0.221,0.37,44.195
LVS,38728933376,24.52766,24.465195,0.73263,0.26,0.293,829.059
LDOS,19612352512,13.929084,3.9891512,0.31034002,-0.036,0.197,107.658
LII,16960139264,21.364473,14.572788,0.75833,-0.112,-0.179,152.24
LLY,829709287424,40.323185,31.260496,1.01159,0.426,0.514,165.31
LEN,22854019072,13.35108,1.0445442,0.08076,-0.133,-0.526,24.992
LYV,36760588288,,135.19862,0.36701,0.111,,572.032
L,22943987712,13.971142,1.2275789,0.09431,0.041,1.26,50.221
LIN,228096507904,33.668262,5.9677987,0.17817,0.058,-0.094,70.63
LMT,136477360128,27.54372,20.177519,0.76865,0.091,1.61,338.804
LOW,140979159040,21.224283,-14.239973,,0.109,-0.11,
LULU,19623804928,12.605877,3.927498,0.34013,0.008,-0.185,36.245
MTB,32491321344,12.284672,1.2586724,0.102910005,0.057,0.244,
LITE,63836598272,256.1805,75.4044,0.29275,0.655,,392.476
MPC,62983024640,16.151928,3.640871,0.24193001,-0.012,3.507,142.647
MAR,100145610752,39.69853,-26.64481,,0.063,0.016,
MRSH,84928266240,21.975,5.6449285,0.27571,0.076,-0.154,151.634
LYB,21389918208,,2.117117,-0.06949,-0.092,,144.156
MLM,37515300864,38.020782,3.7394269,0.10159001,0.086,-0.041,59.866
MAS,13556160512,17.248705,-73.48786,71.5,-0.019,-0.059,4230.263
MKC,14606252032,8.906558,2.091546,0.25347,0.167,5.283,65.158
MCK,106934378496,24.996538,-82.09798,,0.114,0.38,
MRK,294387712000,16.355768,5.601186,0.36882,0.05,-0.193,95.959
MA,465227776000,31.536598,60.238037,2.09915,0.176,0.242,256.042
