단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
003520,KR7003520004,영진약품,ST,3.0,27,9,0,,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,2130,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,139491,500,19730625,182892,91446365500,12.0,,0,,N,N,Y,2520,87,29,12,1.37,20241231.0,3895,KTG,N,N,N
003530,KR7003530003,한화투자증권,ST,2.0,21,24,0,,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,Y,N,N,N,N,5700,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,1112591,5000,19861125,214547,1072738875000,12.0,,0,,N,Y,Y,8370,472,474,372,8.63,20250331.0,12229,913,N,N,Y
003535,KR7003531001,한화투자증권우,ST,0.0,21,24,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,7630,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,12839,5000,19890506,4800,24000000000,12.0,,1,,N,N,N,0,0,0,0,0.0,,366,,N,N,N
003540,KR7003540002,대신증권,ST,2.0,21,24,0,,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,Y,N,N,N,N,25100,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,116010,5000,19751001,50773,254867000000,12.0,,0,,N,Y,Y,11247,388,1247,769,9.29,20250331.0,12744,,N,N,Y
003545,KR7003541000,대신증권우,ST,0.0,21,24,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,19730,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,81112,5000,19880901,26000,130000000000,12.0,,1,,N,N,N,0,0,0,0,0.0,,5129,,N,N,N
003547,KR7003542008,대신증권2우B,ST,0.0,21,24,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,18860,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,25904,5000,20071109,10000,50000000000,12.0,,2,,N,N,N,0,0,0,0,0.0,,1886,,N,N,N
003550,KR7003550001,LG,ST,1.0,21,0,0,,N,Y,5,Y,Y,Y,,N,Y,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,77000,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,160327,5000,19700213,157251,786255825000,12.0,,0,,N,Y,Y,19361,6380,6640,6085,8.5,20250331.0,121083,282,N,N,Y
003555,KR7003551009,LG우,ST,0.0,21,0,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,62300,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,934,5000,19881118,3011,15055995000,12.0,,1,,N,N,N,0,0,0,0,0.0,,1875,,N,N,N
003560,KR7003560000,IHQ,ST,3.0,30,0,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,10760,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19731218,7083,3541865000,12.0,,0,,N,N,Y,67,-18,-15,-15,-6.04,20250331.0,762,,N,N,N
003570,KR7003570009,SNT다이내믹스,ST,2.0,27,15,0,,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,54500,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,189193,2500,19760708,33252,85631742500,12.0,,0,,N,Y,Y,1501,177,229,178,9.02,20250331.0,18122,,N,N,N
